num_lectures,price,days_since_published,content_duration
46,75,2019,4.5
13,20,2648,0.6333333333333333
26,100,2046,3.5
185,100,3347,12.0
27,25,1848,6.0
28,80,2324,2.5
9,75,1330,2.5
19,0,2032,2.0
55,105,1643,6.0
27,20,1396,1.5
11,20,2215,0.6833333333333333
39,40,1486,5.5
30,30,1645,4.0
362,200,2386,30.0
11,0,1757,0.55
64,75,1839,4.5
9,35,1552,1.5
174,45,1612,16.5
20,20,2591,2.0
8,20,2824,1.0
5,20,1707,0.6
57,20,2165,2.0
25,45,2098,1.0
76,20,1758,5.0
26,95,2307,5.0
27,40,1329,1.0
79,200,1874,18.0
47,35,1848,3.5
16,200,1759,1.5
91,50,1974,7.0
43,100,1972,3.0
12,35,1366,0.7333333333333333
43,80,1526,5.5
77,20,2080,2.5
15,20,1945,3.0
11,20,2375,2.0
13,20,2043,1.5
5,20,2158,1.0
5,20,1509,1.0
43,100,2192,5.5
18,0,1958,5.0
36,50,1776,7.0
19,55,1371,2.0
18,55,2179,1.5
6,40,1543,0.5833333333333334
131,150,1813,19.5
5,50,1680,1.0
45,195,1650,4.0
5,20,2638,1.0
15,95,1786,1.0
34,125,1640,2.0
22,0,1453,2.0
80,200,1876,6.5
21,100,1648,5.0
44,20,2029,2.5
20,20,1563,2.0
5,0,2348,0.5166666666666666
29,75,2078,3.0
8,40,1597,1.0
38,0,1724,1.0
14,20,2089,0.65
154,195,2456,26.0
18,25,1652,5.0
14,20,1652,1.5
37,20,1867,1.5
68,40,1322,8.5
16,30,2478,2.0
13,100,1325,3.5
42,30,2625,4.0
90,50,2128,16.0
12,20,1879,1.0
24,50,1831,0.7
25,145,1540,3.5
101,50,3191,8.0
56,95,2176,6.0
94,20,2112,8.0
24,20,2265,2.0
18,195,1738,1.0
32,20,2803,2.0
13,20,2496,1.0
44,20,2009,5.5
23,50,1976,1.5
64,95,2158,3.5
11,20,1702,0.6
19,20,2025,1.0
46,40,2674,12.0
45,35,1465,3.0
60,100,2058,6.0
27,40,1611,2.0
179,35,1836,17.5
13,20,1407,3.0
27,195,2578,4.0
42,35,2694,3.5
39,50,2485,5.5
29,200,2069,2.0
31,50,2476,3.5
57,50,1762,7.0
